url,id,тип объявления,регион,статус,тип_животного,окрас,порода,место события,дата_публикации,пол,возраст,описание,Длина_описания_в_словах,наличие_описания,есть_фото,количество_фото,количество_комментариев,дата находки,есть_контакты
https://pet911.ru/moskovskaya-oblast/found/dog/rf1094699,rf1094699,найден,Moskovskaya Oblast,ищут хозяина,собака,рыжий,Неизвестно,"Фенино, Московская область","ср, 29.10.2025",Мужской,Неизвестно,"Найдена собака , кобель деревня Фенино , умный отзывчивый , на собаке был рыжий ошейник от клещей . Гуляет сам по себе и возвращается Если кто ищет звонить по телефону 9779787903 Найден был примерно 19 числа",36,True,True,2,3,"ср, 29.10.2025",True
https://pet911.ru/moskva/found/dog/rf1083209,rf1083209,найден,Moskva,ищут хозяина,собака,Неизвестно,метис,"Большая Косинская улица, Москва","ср, 08.10.2025",Женский,на вид лет 10,"Метис под хаску. Старенькая девочка. На вид лет 10. Упитанная, пугливая. Шла вдоль дороги на трех лапах. На передней правой перелом нескольких дней. Все торчит наружу. Перепуганная, кусалась. В машине волновалась. Найдена в районе улицы Больгая Косинская дом 12. Съездили к ветеринару. Оказалось, собаке примерно 5 лет. Перелома нет, но рана серьезная и ей несколько дней. Обработали под наркозом. Лечить еще долго. Пока будет у меня.",66,True,True,7,9,"ср, 08.10.2025",True
https://pet911.ru/found/cat/rf1093152,rf1093152,найден,,ищут хозяина,кошка,Неизвестно,Неизвестно,"улица Фридриха Энгельса, 11, городское поселение Боровск","вс, 26.10.2025",Мужской,Неизвестно,Тайка,1,True,True,1,1,"вс, 26.10.2025",True
https://pet911.ru/found/dog/rf1083210,rf1083210,найден,,ищут хозяина,собака,Неизвестно,корги,"Зелёная улица, Ерюхино","ср, 08.10.2025",Мужской,Неизвестно,Найдена собака. Корги. Мальчик,4,True,True,2,1,"вт, 07.10.2025",True
https://pet911.ru/korolev/found/dog/rf1086274,rf1086274,найден,Korolev,ищут хозяина,собака,Неизвестно,Неизвестно,"проезд Циолковского, 4, Королёв","пн, 13.10.2025",Мужской,Неизвестно,Лежит у подъезда.,3,True,True,2,2,"пн, 13.10.2025",True
https://pet911.ru/moskovskaya-oblast/found/dog/rf1092483,rf1092483,найден,Moskovskaya Oblast,ищут хозяина,собака,Неизвестно,Неизвестно,"Боброво, Московская область","сб, 25.10.2025",Мужской,Неизвестно,"Найдена собака. Кобель. Хаски/ Маламут (?). Был без ошейника, но его знает и как ходить на поводке тоже. Социализированный парень. К другим животным относится спокойно. Воспитанный, знает команды. Клеймо и чип отсутствует. Взят на временную передержку. Оставить себе не можем. Ищем старых или новых хозяев.",45,True,True,3,3,"пт, 24.10.2025",True
https://pet911.ru/shchelkovo/found/dog/rf1083980,rf1083980,найден,Shchelkovo,ищут хозяина,собака,Неизвестно,Неизвестно,"Талсинская улица, 23, Щёлково","чт, 09.10.2025",Неизвестно,Неизвестно,"Собака маленькая бегала, рядом не было хозяев. Щелково, Талсинская 23а, 09.10.25 в районе 18:50. Побежала в сторону Сиреневой улицы",19,True,True,1,2,"чт, 09.10.2025",True
https://pet911.ru/moskva/found/cat/rf1089967,rf1089967,найден,Moskva,хозяин найден,кошка,Неизвестно,Неизвестно,"улица Молдагуловой, 10 к3, Москва","пн, 20.10.2025",Женский,Неизвестно,В районе трех часов дня в пятом подъезде дома 10к3 Молдагуловой найдена кошка. Я забрала домой временно! Ищем хозяев!!!!,19,True,True,4,11,"пн, 20.10.2025",True
https://pet911.ru/novoseltsevo/found/cat/rf1089469,rf1089469,найден,Novoseltsevo,ищут хозяина,кошка,Неизвестно,Неизвестно,"Центральная улица, 2Д, Новосельцево","вс, 19.10.2025",Мужской,"2, год","Найден Кот, кастрирован, очень крупный! Чаузи ! Возраст примерное 2 года (по зубам, но не точно). Очень исхудавший и тощий, шерсть сейчас грязная, тусклая. Потерялся более месяца назад (возможно и ранее - август-сентябрь, может и раньше!). Найден мытищинский район, дмитровское шоссе, около клязьменского водохранилища. Мог приехать откуда угодно! Также и из другого города! Очень ласковый и домашний, очень плачет, пошёл сразу на диван, и чувствуется это его привычное место. Сейчас весит 3,5 килограмма, ветеринар сказал должен весить около 7 кг! Ноги очень длинные, кот крупный. Когти есть. Полосок на теле нет!!! Есть на передних лапах и хвосте. Шипит, легко прыгает на 1.5 метра в высоту, как кошки «диких пород». Ест мясо с хрящями и костями. Окрас ""дикий"", на ушах небольшие кисточки. Сейчас грязный, отмываем, цвет шерсти от истощения и плохого питания мог немного поменяться.",134,True,True,7,2,"вс, 19.10.2025",True
https://pet911.ru/moskva/found/dog/rf1092346,rf1092346,найден,Moskva,ищут хозяина,собака,Неизвестно,Неизвестно,"улица Вавилова, 43, Москва","сб, 25.10.2025",Неизвестно,Неизвестно,Шарпей бежевый с красным ошейником,5,True,False,0,3,"сб, 25.10.2025",True
https://pet911.ru/zhukovsky/found/cat/rf1086353,rf1086353,найден,Zhukovsky,ищут хозяина,кошка,рыжий,Неизвестно,"улица Луч, 2, Жуковский","пн, 13.10.2025",Неизвестно,Неизвестно,"В районе Ильинки найден светло-рыжий кот: забежал в помещение во время дождя. Он очень ждёт, когда его хозяева позвонят по телефону 8(49848) 2-27-02 и заберут его домой. Тел. Служебный, звоните с 10.30 до 19.00 (кроме воскресенья).",36,True,True,2,2,"пн, 13.10.2025",True
https://pet911.ru/found/dog/rf1094572,rf1094572,найден,,ищут хозяина,собака,Неизвестно,Неизвестно,"Каменка, Московская область","ср, 29.10.2025",Мужской,Неизвестно,Найдена собака в ошейнике. Хромает на переднюю лапу,8,True,True,3,3,"ср, 29.10.2025",True
https://pet911.ru/found/dog/rf1088177,rf1088177,найден,,ищут хозяина,собака,Неизвестно,Неизвестно,"Чемодурово, Московская область","пт, 17.10.2025",Мужской,Неизвестно,,0,False,True,2,25,"пт, 17.10.2025",True
https://pet911.ru/pushkino/found/dog/rf1086019,rf1086019,найден,Pushkino,ищут хозяина,собака,Неизвестно,доберман,"Учинская улица, 24/1, Пушкино","пн, 13.10.2025",Мужской,Неизвестно,Доберман. Молодой. Бегает по улице ищет хозяина. Не нашел адрески и клейм,12,True,True,1,3,"пн, 13.10.2025",True
https://pet911.ru/petushki/found/dog/rf1092690,rf1092690,найден,Petushki,ищут хозяина,собака,Неизвестно,Неизвестно,"улица Маяковского, 23, Петушки","вс, 26.10.2025",Мужской,Неизвестно,,0,False,True,1,1,"вс, 26.10.2025",True
https://pet911.ru/dedenevo/found/dog/rf1095010,rf1095010,найден,Dedenevo,ищут хозяина,собака,"рыжий, чёрно-рыжий",Неизвестно,"Нефедово – Деденево, Деденево","чт, 30.10.2025",Неизвестно,сегодня 30,"МО, Наро-Фоминский р-н, поворот с киевки на Деденево (у эстокады). Первый раз заметил пёселя 28.10. Сегодня 30.10 был снова замечен. Покормил пса. С собой еду 3 дня возил. Первый раз, перегородил на машине ему дорогу, на киевку собирался выйти. Убежал в лес. Сегодня снова его увидел. Ошейника не видно. Осторожный, не подходит. По ощущениям, пару дней назад он был гораздо чище и опрятнее. Мог убежать у кого. Вечером собираюсь прокатиться по Деденево и поспрашивать про него. Может, на самовыгуле. Но судя по аппетиту, его нигде не кормят. Могу временно приютить (есть двор, вольер), но его нужно поймать. Чёрно-рыжий, длинношёрстный.",99,True,True,4,2,"чт, 30.10.2025",True
https://pet911.ru/moskva/found/cat/rf1084867,rf1084867,найден,Moskva,ищут хозяина,кошка,"белые, чёрный",Неизвестно,"Бакинская улица, 22, Москва","сб, 11.10.2025",Мужской,Неизвестно,"Нашёлся под капотом машины, громко кричал. Точно домашний, шерсть гладкая, ухоженная, сам ручной, ласковый. Длинношёрстный , чёрный окрас, белые передние лапы, шея, щёки и половина носа.",26,True,True,3,12,"чт, 09.10.2025",True
https://pet911.ru/moskovskaya-oblast/found/dog/rf1092859,rf1092859,найден,Moskovskaya Oblast,ищут хозяина,собака,Неизвестно,овчарка,"Клин, Московская область","вс, 26.10.2025",Женский,Неизвестно,"Овчарка, молоденькая, общительная, видимо, жила в доме или квартире, просится внутрь, не стесняется лезть на диван, на шее ошейник из красивых металлических звеньев.",23,True,True,1,3,"вс, 26.10.2025",True
https://pet911.ru/moskva/found/cat/rf1093505,rf1093505,найден,Moskva,ищут хозяина,кошка,Неизвестно,Неизвестно,"Иваньковское шоссе, Москва","пн, 27.10.2025",Женский,Неизвестно,"Породистая,см. Картинку",2,True,True,1,2,"пн, 27.10.2025",True
https://pet911.ru/moskva/found/dog/rf1087895,rf1087895,найден,Moskva,ищут хозяина,собака,рыжий,корги,"улица Барклая, 10, Москва","чт, 16.10.2025",Неизвестно,Неизвестно,Рыжий корги без ошейника,4,True,True,1,3,"чт, 16.10.2025",True
https://pet911.ru/moskva/found/cat/rf1091594,rf1091594,найден,Moskva,ищут хозяина,кошка,Неизвестно,Неизвестно,"Пулковская улица, Москва","пт, 24.10.2025",Мужской,Неизвестно,"Прибился котик персикового окраса, молоденький, чистый",6,True,True,1,3,"пт, 10.10.2025",True
https://pet911.ru/moskva/found/dog/rf1083704,rf1083704,найден,Moskva,ищут хозяина,собака,Неизвестно,бигль,"улица Лазо, 3 с2, Москва","чт, 09.10.2025",Мужской,Неизвестно,"За нами увязался бигль Мальчик Не умеет гавкать Зашел с нами домой Очень молодой, очень активный Есть еще дефект и клеймо Кому попало не отдадим Только с подтверждением того, что пёс ваш, дабы избежать недоброжелателей!",35,True,True,1,0,"чт, 09.10.2025",True
https://pet911.ru/moskva/found/cat/rf1093457,rf1093457,найден,Moskva,ищут хозяина,кошка,серая,Неизвестно,"улица Гамалеи, 23 к2, Москва","пн, 27.10.2025",Неизвестно,Неизвестно,Морда серая. Кошка в состоянии стресса. Отвезли в ветлечебницу.,9,True,True,4,7,"пн, 27.10.2025",True
https://pet911.ru/krivosheino/lost/dog/rf1086241,rf1086241,найден,Krivosheino,ищут хозяина,собака,черный,метис,"137, Кривошеино","пн, 13.10.2025",Женский,Неизвестно,"Метис Хаски с лайкой,к нам пришел ее друг ( черный кабель ) супруга их покормила ,ворота были открыты на участке ,они и убежали,наша Гретта очень ласковая ,стерилизована ,она гуляет немного ,с нами на поводке ,если на самовыгуле ,то совсем мало ,поэтому мы переживаем ,с субботы вечера с 22.00 до сих пор ее нет((",53,True,True,2,3,Неизвестно,True
https://pet911.ru/moskva/found/dog/rf1084375,rf1084375,найден,Moskva,ищут хозяина,собака,коричневый,Неизвестно,"улица Александра Солженицына, 24, Москва","пт, 10.10.2025",Неизвестно,Неизвестно,"Замечена собака во дворе. Окрас - коричневый с черными пятнами. На шее ошейник с куском оторванного поводка. Бегает по двору, пытается зайти в подъезд. Замечена около 15:00 дня. Возможно пришла из далека, потому что очень грязная и мокрая.",38,True,True,3,4,"пт, 10.10.2025",True
https://pet911.ru/found/bird/rf1083644,rf1083644,найден,,ищут хозяина,птица,Неизвестно,Неизвестно,"улица Пушкина, 4А, Битца","чт, 09.10.2025",Неизвестно,Неизвестно,"Летает третий день по поселку, крупный, длинный хвост, попугай громкий, пугливый , не контактный",14,True,True,1,2,"чт, 09.10.2025",True
https://pet911.ru/moskva/found/dog/rf1090457,rf1090457,найден,Moskva,ищут хозяина,собака,Неизвестно,Неизвестно,"проспект Мира, Москва","вт, 21.10.2025",Женский,Неизвестно,"Бежевая девочка, похожа на лайку.",5,True,True,3,4,"сб, 18.10.2025",True
https://pet911.ru/moskva/found/cat/rf1093494,rf1093494,найден,Moskva,ищут хозяина,кошка,"белый, черно-белый",Неизвестно,"Открытое шоссе, 18А к6, Москва","пн, 27.10.2025",Неизвестно,"4, месяц","Котенок, возраст примерно 3-4 месяца. Окрас черно-белый. Нашелся под машинами на парковке у 6 корпуса и детского сада по адресу Открытое шоссе. Мяучить, ухоженный",24,True,True,3,3,"пн, 27.10.2025",True
https://pet911.ru/moskovskaya-oblast/found/dog/rf1094421,rf1094421,найден,Moskovskaya Oblast,ищут хозяина,собака,"рыже-черно, белая",Неизвестно,Московская область,"ср, 29.10.2025",Женский,Неизвестно,"Ласковая, испуганная, рыже-черно-белая, ошейник зеленый и от блох красный",9,True,True,4,3,"ср, 29.10.2025",True
https://pet911.ru/moskva/found/other/rf1089273,rf1089273,найден,,ищут хозяина,другой,Неизвестно,Неизвестно,"Открытое шоссе, 23 к7, Москва","вс, 19.10.2025",Неизвестно,"крыса в клетке, выставлена на лестничную клетку между 6 и 7 этпжами в подъезде n1","Крыса в клетке, выставлена на лестничную клетку между 6 и 7 этпжами в подъезде N1. Рядом поставили корм.",18,True,True,1,5,"вс, 19.10.2025",True
https://pet911.ru/moskva/found/cat/rf1090756,rf1090756,найден,Moskva,ищут хозяина,кошка,черный,Неизвестно,"Беломорская улица, 16А, Москва","ср, 22.10.2025",Мужской,Неизвестно,"Черный молодой кот , покормили",5,True,True,1,3,"ср, 22.10.2025",True
https://pet911.ru/moskva/found/dog/rf1088683,rf1088683,найден,Moskva,хозяин найден,собака,Неизвестно,Неизвестно,"улица Коминтерна, 54 к1, Москва","сб, 18.10.2025",Неизвестно,Неизвестно,Собака в шлейке сидит возле 4 подъезда,7,True,True,2,3,"сб, 18.10.2025",True
https://pet911.ru/noginsk/found/cat/rf1093585,rf1093585,найден,Noginsk,ищут хозяина,кошка,Неизвестно,Неизвестно,"Рогожская улица, 85, Ногинск","пн, 27.10.2025",Женский,Неизвестно,Нашел возле здание банка,4,True,True,2,3,"чт, 23.10.2025",True
https://pet911.ru/moskva/found/dog/rf1088787,rf1088787,найден,Moskva,ищут хозяина,собака,Неизвестно,Неизвестно,"Нагатинская улица, Москва","сб, 18.10.2025",Неизвестно,Неизвестно,"Собака лежит в районе Нагатино, от еды отказалась, не встает, возможно травмирована",12,True,True,3,4,"сб, 18.10.2025",True
https://pet911.ru/monino/found/cat/rf1087410,rf1087410,найден,Monino,ищут хозяина,кошка,Неизвестно,Неизвестно,"улица Маршала Красовского, 13, Монино","чт, 16.10.2025",Мужской,Неизвестно,Нашелся кот породистый чистый британец в Монино Домашний в зеленом ошейнике 8 (915) 346-97-28,14,True,True,1,5,"чт, 16.10.2025",True
https://pet911.ru/moskva/found/cat/rf1093929,rf1093929,найден,Moskva,хозяин найден,кошка,Неизвестно,домашняя,"Бакинская улица, 15, Москва","вт, 28.10.2025",Женский,Неизвестно,"27.10, приблизительно в 21:00, упала сверху на крышу библиотеки. Кошка ласковая, домашняя, еще котенок. Найдись хозяин!",16,True,True,3,3,"пн, 27.10.2025",True
https://pet911.ru/khimki/found/dog/rf1089075,rf1089075,найден,Khimki,ищут хозяина,собака,рыжая,Неизвестно,"улица Мичурина, 15, Химки","вс, 19.10.2025",Неизвестно,Неизвестно,Рыжая собака с ошейником бегает,5,True,True,2,3,"вс, 19.10.2025",True
https://pet911.ru/moskovskaya-oblast/found/cat/rf1095165,rf1095165,найден,Moskovskaya Oblast,ищут хозяина,кошка,белая,Неизвестно,"Тропарёво, Московская область","чт, 30.10.2025",Женский,"10, месяц","Рыже белая, на вид 9,10 месяцев, контактная, с кисточками на ушах",11,True,True,3,4,"сб, 18.10.2025",True
https://pet911.ru/nakhabino/found/dog/rf1091552,rf1091552,найден,Nakhabino,ищут хозяина,собака,Неизвестно,Неизвестно,"Институтская улица, Нахабино","чт, 23.10.2025",Неизвестно,Неизвестно,"Замечена собака Красногорск, Опалиха, Нахабино 23.10.25 Стоял возле энерго. Сильно кого то ждал, заглядывал в двери, потом убежал. Чистый, красивый, без поводка. Не злой, дал себя погладить @see_mona ТГ 22.10.25 бегал по эстакаде в Нахабино",35,True,True,2,3,"ср, 22.10.2025",True
https://pet911.ru/moskva/found/cat/rf1092116,rf1092116,найден,Moskva,ищут хозяина,кошка,рыжий,Неизвестно,"Нагатинская набережная, 18 к1, Москва","пт, 24.10.2025",Женский,Неизвестно,"Молодая кошечка, очень ласковая. Не боится людей и даже собак. Окрас коричнево рыжий. Похожа на рисунок бенгальской породы",18,True,True,1,8,"пт, 24.10.2025",True
https://pet911.ru/shugarovo/found/dog/rf1082038,rf1082038,найден,Shugarovo,ищут хозяина,собака,Неизвестно,Неизвестно,"91, Шугарово","пн, 06.10.2025",Женский,Неизвестно,Хорошая ласковая собака,3,True,True,2,1,"пн, 06.10.2025",True
https://pet911.ru/kolontayevo/found/cat/rf1089132,rf1089132,найден,Kolontayevo,ищут хозяина,кошка,"белый, серо-белый",Неизвестно,"Напрудная улица, 38, Колонтаево","вс, 19.10.2025",Неизвестно,Неизвестно,"Серо-белый, котенок, по всей видимости мальчик.",6,True,True,1,3,"вс, 19.10.2025",True
https://pet911.ru/moskva/found/dog/rf1090032,rf1090032,найден,Moskva,ищут хозяина,собака,Неизвестно,Неизвестно,"улица Космонавта Волкова, 10, Москва","пн, 20.10.2025",Женский,Неизвестно,"Собака белого окраса, фиолетовая шлейка, розовый нос, чистая",8,True,True,5,3,"пт, 17.10.2025",True
https://pet911.ru/moskva/found/dog/rf1087848,rf1087848,найден,Moskva,хозяин найден,собака,Неизвестно,Неизвестно,"площадь Тверская Застава, 1, Москва","чт, 16.10.2025",Женский,Неизвестно,"Белорусская 1 выход, бегала через дорогу и обратно Сиба ину, девочка, красный ошейник светящийся, чипа нет +7 905 732 2318",20,True,True,1,2,"чт, 16.10.2025",True
https://pet911.ru/moskva/found/dog/rf1087735,rf1087735,найден,Moskva,ищут хозяина,собака,черный,метис,"Мосфильмовская улица, Москва","чт, 16.10.2025",Мужской,Неизвестно,"По территории Мосфильма бегает и воет молодой пес, метис, окрас черный с белыми пятнами на мордочке, лапах. Видимо потерялся, так как ищет выход и скулит.",25,True,True,1,4,"чт, 16.10.2025",True
https://pet911.ru/moskva/found/cat/rf1083355,rf1083355,найден,Moskva,ищут хозяина,кошка,серый,Неизвестно,"улица Фадеева, 4, Москва","ср, 08.10.2025",Неизвестно,Неизвестно,"Серый и ласковый , с ошейником",6,True,True,3,3,"ср, 08.10.2025",True
https://pet911.ru/obninsk/found/dog/rf1091341,rf1091341,найден,Obninsk,ищут хозяина,собака,Неизвестно,Неизвестно,"Привокзальная площадь, Обнинск","чт, 23.10.2025",Мужской,Неизвестно,"Йорк Мальчик ласковый, бегал по проезжей части, метался искал хозяев видать",11,True,True,2,5,"чт, 23.10.2025",True
https://pet911.ru/korolev/found/cat/rf1086071,rf1086071,найден,Korolev,ищут хозяина,кошка,Неизвестно,Неизвестно,"Колхозная улица, 4, Королёв","пн, 13.10.2025",Неизвестно,Неизвестно,"Пришел в частный сектор, нашли у себя в беседке, определить кто, нет возможности, очень худой, с ошейником без опознавательных знаков.",20,True,True,1,4,"вс, 12.10.2025",True
https://pet911.ru/moskva/found/cat/rf1093694,rf1093694,найден,Moskva,ищут хозяина,кошка,"чёрно-белый, белый",Неизвестно,"улица Раменки, Москва","пн, 27.10.2025",Неизвестно,Неизвестно,"Окрас чёрно-белый. Искала своего котика, который тоже пропал. Обнаружила у кормушки, где прикармливают бездомных кошек. Мне позвонили по моему объявлению и сказали, что бегает похожий котик. Пол точно не знаю. Но к сожалению оказался не мой, окрас отличается. Котик домашний видно, ждёт хозяина.",43,True,True,2,3,"пн, 06.10.2025",True
https://pet911.ru/lyubertsy/found/cat/rf1089428,rf1089428,найден,Lyubertsy,ищут хозяина,кошка,Неизвестно,Неизвестно,"улица Кирова, 116-й квартал, к14А, Люберцы","вс, 19.10.2025",Неизвестно,Неизвестно,"Охрипший голос, видно, что бывшедомашнее животное",6,True,True,3,3,"вс, 19.10.2025",True
https://pet911.ru/odintsovo/found/cat/rf1093192,rf1093192,найден,Odintsovo,ищут хозяина,кошка,серая,Неизвестно,"бульвар Маршала Крылова, 1, Одинцово","пн, 27.10.2025",Неизвестно,Неизвестно,"Полосатый хвост, розовый нос, серая",5,True,True,4,3,"вс, 26.10.2025",True
https://pet911.ru/moskva/found/cat/rf1084090,rf1084090,найден,Moskva,ищут хозяина,кошка,"серо-белая, рыжий, белая",домашняя,"проспект Будённого, Москва","пт, 10.10.2025",Неизвестно,Неизвестно,"Пушистая, серо-белая кошка (кот), возможно есть рыжий окрас (в темноте не видно). Близко не подходит, на кыс кыс не откликается. Видно, что домашняя, чистая. При попытке подойти - убегает.",29,True,True,3,2,"пт, 10.10.2025",True
https://pet911.ru/moskva/found/dog/rf1082890,rf1082890,найден,Moskva,ищут хозяина,собака,"рыжий, черно-рыжий",такса,"улица Мусы Джалиля, Москва","вт, 07.10.2025",Женский,Неизвестно,"Такса,девочка, окрас черно-рыжий. Ухоженная, чистая. На задних лапах по 6 пальцев. В черном ошейнике, без адресника, поводка и тд",19,True,True,3,3,"вт, 07.10.2025",True
https://pet911.ru/found/dog/rf1092460,rf1092460,найден,,ищут хозяина,собака,Неизвестно,"овчарка, немецкая овчарка","Спортивная улица, 119","сб, 25.10.2025",Мужской,Неизвестно,"Немецкая овчарка, молодой кобель, длинношёрстный, без ошейника, окрас чепрачный",9,True,True,2,5,"сб, 25.10.2025",True
https://pet911.ru/moskva/found/cat/rf1089876,rf1089876,найден,Moskva,ищут хозяина,кошка,Неизвестно,Неизвестно,"Кустанайская улица, 10 к1, Москва","пн, 20.10.2025",Женский,Неизвестно,"Найдена кошка в подъезде №2 Кустанайская ул. 10 к 1, породы сфинкс",12,True,True,1,3,"пн, 20.10.2025",True
https://pet911.ru/moskva/found/cat/rf1093446,rf1093446,найден,Moskva,ищут хозяина,кошка,"садовая-черно, бело-серый, серый",Неизвестно,"Садовая-Черногрязская улица, 13/3 с1, Москва","пн, 27.10.2025",Неизвестно,Неизвестно,"был замечен бело-серый кот/кошка по адресу Москва, Садовая-Черногрязская улица, 13/3с1, подъезд 4. Котик явно домашний, выглядит опрятно, но испугано. Трясся и громко мяукал. Может выпал из окна",27,True,True,2,3,"пн, 27.10.2025",True
https://pet911.ru/found/dog/rf1085133,rf1085133,найден,,ищут хозяина,собака,черный,шпиц,Московская область,"сб, 11.10.2025",Мужской,Неизвестно,черный шпиц,2,True,True,2,2,"сб, 11.10.2025",True
https://pet911.ru/moskva/found/dog/rf1083213,rf1083213,найден,Moskva,ищут хозяина,собака,Неизвестно,Неизвестно,"Красностуденческий проезд, Москва","ср, 08.10.2025",Мужской,Неизвестно,"кави, есть клеймо, но оно не читабельно, адресника нет",9,True,True,1,4,"ср, 08.10.2025",True
https://pet911.ru/found/dog/rf1086739,rf1086739,найден,,ищут хозяина,собака,"голубой, коричневый, черный",Неизвестно,"Косякино, Московская область","вт, 14.10.2025",Мужской,Неизвестно,"Найдена собака, кобель у дороги . Черный с белым пушистый . Разные глаза. Один глаз голубой один глаз коричневый.",19,True,True,4,6,"вт, 14.10.2025",True
https://pet911.ru/odintsovo/found/dog/rf1088405,rf1088405,найден,Odintsovo,хозяин найден,собака,Неизвестно,Неизвестно,"Вокзальная улица, 31А, Одинцово","пт, 17.10.2025",Мужской,Неизвестно,"Светлая шерсть, высунутый язык, неухоженные ногти. Нашлась в подъезде дома. Ведёт себя нервно, но неагрессивно.",15,True,True,3,8,"пт, 17.10.2025",True
https://pet911.ru/moskovskaya-oblast/found/dog/rf1084204,rf1084204,найден,Moskovskaya Oblast,ищут хозяина,собака,Неизвестно,Неизвестно,"Парышево, Московская область","пт, 10.10.2025",Женский,Неизвестно,"Собака, фенотип западно-сибирская лайка. Ищем хозяина, или дом. Домодедовский район, д. Глотаево/Парышево.",12,True,True,1,3,"чт, 09.10.2025",True
https://pet911.ru/moskva/found/dog/rf1089984,rf1089984,найден,Moskva,ищут хозяина,собака,Неизвестно,шпиц,"Ярцевская улица, 4 к2, Москва","пн, 20.10.2025",Женский,Неизвестно,"Рыжый шпиц , девочка , без ошейника",7,True,True,3,4,"пн, 20.10.2025",True
